# LocalBite Barcelona v7.1 — Audit Log
# Started: 2026-04-25
# Format: restaurant name | tier | reason | source

# MICHELIN-STARRED EXCLUSIONS (pre-extraction)
Suto | excluded | Michelin-starred omakase — explicit label in article | Barcelona Food Experience
Enoteca Paco Perez | excluded | Michelin ⭐⭐ — explicit label in article | Barcelona Food Experience
Mont Bar | excluded | Michelin-starred — explicit label in article | Barcelona Food Experience

# GEOGRAPHIC BOUNDARY EXCLUSIONS (pre-extraction)
Hernández | excluded | Sant Boi de Llobregat — outside Barcelona boundary | Guía Repsol / The New Barcelona Post
El Hostal dels Ossos | excluded | Sant Cristòfol de les Fonts, Girona — outside boundary | Culinary Backstreets
Bitadorna | excluded | A Guarda, Pontevedra, Galicia — outside boundary | Culinary Backstreets

# PHASE 1B REJECTIONS (single-restaurant reviews, no multi-restaurant guide)
Pompa (observaciongastronomica.com) | excluded | under 2,000 char minimum (1,100 chars); Philippe Regol review | observaciongastronomica.com
Franca (gastroactitud.com) | excluded | single-restaurant review only; José Carlos Capel | gastroactitud.com
Fukamura (foodie-culture.com) | excluded | single-restaurant review only; Anna Torrents (different publisher) | foodie-culture.com

# CONCENTRATION CAP REMOVALS — BFE tapas (30% single-source cap applied)
# BFE single-source Tier B entries capped at 33 (30% of 110 total entries)
# BFE best-restaurants contributes 18 single-source Tier B entries
# BFE tapas capped at 15 additional single-source Tier B entries
# 22 BFE tapas entries removed (lowest specificity of description):
Oído | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Bar Anita | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Per Feina Per Plaer | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
El Puestu | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Bar Alegría (Eixample Esquerra) | tier-B removed | BFE concentration cap (30%) — note: Gràcia location (Repsol) retained | Barcelona Food Experience
El Maravillas | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Rabbit's Bar | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Bar Malasang | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Tapeo | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Bodega La Puntual | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Betlem Miscellánia Gastronomica | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
La Esquinica | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Can Maño | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Bar Remedios | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Casa Inés | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Bar Omar | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
O Retorno | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Bar Mut | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Paco Meralgo | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Bambarol | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Bodega Quimet | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience
Extra Bar | tier-B removed | BFE concentration cap (30%) — tapas bar, thin description | Barcelona Food Experience

# UNATTENDED_MODE: YES — all Phase 3 removals auto-accepted
# Final pack: 110 entries, 15 Tier A (14 both-pool + 1 multi-source), 95 Tier B
# BFE single-source Tier B: 33 entries = 30.0% of 110 total ✓
