[p1] "https://www.gamberorosso.it/ristoranti/i-7-migliori-ristoranti-di-trieste-per-il-gambero-rosso-tra-cui-un-nuovo-tre-forchette/" → 200 | ~4200ch | REJECTED-byline — "Gambero Rosso" team credit, no individual named author
[p1] "https://liciasangermano.it/mangiare-a-trieste-buffet-e-ristoranti-tipici/" → 200 | ~3200ch | REJECTED-date — article dated June 13, 2022, outside YEAR_RANGE 2023-2026
[p1] "https://www.mammamiaindeed.com/articles/restaurants-in-trieste" → 200 | ~18500ch | REJECTED-byline — authors "Kat" and "Raf" only, no surnames; dual-author site
[p1] "https://www.silversea.com/blog/silversea-experience/salt/insiders-guide-italys-trieste-with-chef-antonia-klugman" → 200 | ~8200ch | REJECTED-coi — author Laura Lazzaroni confirmed, Nov 2025; dropped: COI flag (Silversea cruise company) and only 2 extractable Trieste restaurants after geo-exclusions
[p1] "https://www.valentinastravelguide.com/restaurants-in-trieste/" → 200 | ~28450ch | REJECTED-byline — author "Valentina" only, no surname; single-author rule cannot satisfy full-name requirement
[p1] "https://www.valentinastravelguide.com/about/" → 200 | ~800ch | REJECTED-byline — About page confirms "Valentina" (no surname)
[p1] "https://www.slowfood.it/slowfood-travel/carso-trieste/dove-mangiare/" → 200 | ~6800ch | REJECTED-byline — no named author; no publication date
[p1] "https://travelsonpoint.com/trieste-restaurants/" → 200 | ~45800ch | REJECTED-byline — author "Nancy H." (initials-only byline, reject per rule)
[p1] "https://wheresemmanow.com/about/" → 200 | ~1200ch | ACCEPTED — Emma Myrick confirmed as sole author (single-author site)
[p1] "https://www.gamberorosso.it/rubriche/classifiche/ristoranti-tipici-di-trieste-dove-assaggiare-i-piatti-della-tradizione/" → 200 | ~4847ch | REJECTED-date — Michela Becchi byline confirmed but article dated February 18, 2020, outside YEAR_RANGE
[p1] "https://www.linkiesta.it/2023/09/osmizze-carso-mangiare-trieste/" → 200 | ~3850ch | REJECTED-byline — Sep 14, 2023, within range, but no author byline anywhere in article
[p1] "https://wheresemmanow.com/best-trieste-restaurants/" → 200 | ~4200ch | ACCEPTED — Emma Myrick, Apr 6, 2023, 8 restaurants, Trieste-specific
[p1] "https://milanowineweek.com/vendemmie/trieste-dieci-indirizzi-dove-mangiare-e-bere-come-si-deve-tra-proposte-gourmet-e-trattorie-tipiche/" → 200 | ~7850ch | ACCEPTED — Marco Colognese, Sep 6, 2023, 10 restaurants, Trieste-specific
[p1] "https://www.gamberorossointernational.com/news/the-7-best-restaurants-of-trieste-according-to-gambero-rosso-including-a-new-tre-forchette/" → 200 | ~12847ch | REJECTED-byline — "Gambero Rosso" team credit; same publisher as IT edition; sibling-check: NOT independently produced
[p1] "https://www.finedininglovers.com/explore/articles/24-hours-trieste-what-eat-and-see" → 200 | ~8847ch | ACCEPTED — Claudia Concas, Feb 23, 2023, 6 venues, Trieste-specific; COI flag: S.Pellegrino platform
[p1] "https://www.decanter.com/wine-travel/city-guide-to-trieste-562924/" → 200 | ~8650ch | REJECTED-byline — no author byline; date Feb 11, 2026
[p1] "https://www.gamberorosso.it/attualita/migliori-buffet-trieste-rebechin/" → 200 | ~4847ch | ACCEPTED — Michela Becchi, Jun 23, 2024, 5 buffets, Trieste-specific; COI flag: Gambero Rosso staff journalist
[p1] "https://intrieste.com/2024/03/18/colorful-cottages-of-san-giacomo/" → 200 | ~1500ch | SKIPPED — neighbourhood/architecture article, no restaurant content
[p1] "https://www.falstaff.com/it/listings/i-migliori-ristoranti-a-trieste" → 200 | ~18500ch | REJECTED-byline — no author byline; no publication date
[p1] "https://www.triesteprima.it/social/migliori-ristoranti-ts.html" → 200 | ~8200ch | REJECTED-byline — "Redazione" (editorial team) credit, Dec 6, 2023
[p1] "https://souvenirdiviaggio.it/cucina-triestina-cosa-mangiare-a-trieste-piatti-tipici-ristoranti/" → 200 | ~12500ch | ACCEPTED — Lucia Nuzzaci, Jul 15, 2024, 5 restaurants, Trieste-specific
[p1] "https://liveinitalymag.com/5-cozy-food-spots-to-discover-trieste-from-the-inside" → 200 | ~3200ch | ACCEPTED — Valentina Salcedo, Apr 12, 2026, 5 venues, Trieste-specific
[p1] "https://www.fionadunlop.com/blog/2023/05/tucking-in-at-a-chilled-osmiza-of-triestes-carso/" → 200 | ~2850ch | ACCEPTED — Fiona Dunlop, May 26, 2023, 1 osmiza, Trieste Carso specific
